"DateTime";"240291601000052 - Total batería";"240291601000052 - Máx. celda";"240291601000052 - Mín. celda"
"2025-02-04 16:55:56";26,7;3350;3325
"2025-02-04 17:01:10";26,7;3354;3324
"2025-02-04 17:06:21";26,7;3348;3323
"2025-02-04 17:11:33";26,7;3353;3322
"2025-02-04 17:16:44";26,7;3346;3321
"2025-02-04 17:21:56";26,7;3346;3321
"2025-02-04 17:27:09";26,7;3346;3320
"2025-02-04 17:32:21";26,7;3343;3320
"2025-02-04 17:37:32";26,7;3344;3319
"2025-02-04 17:42:44";26,6;3344;3319
"2025-02-04 17:47:55";26,6;3343;3318
"2025-02-04 17:53:09";26,6;3343;3317
"2025-02-04 17:58:20";26,6;3342;3317
"2025-02-04 18:03:32";26,6;3342;3317
"2025-02-04 18:08:43";26,6;3342;3317
"2025-02-04 18:13:55";26,6;3341;3316
"2025-02-04 18:19:08";26,6;3341;3315
"2025-02-04 18:24:20";26,6;3341;3315
"2025-02-04 18:29:31";26,6;3340;3314
"2025-02-04 18:34:42";26,6;3341;3314
"2025-02-04 18:39:54";26,6;3340;3314
"2025-02-04 18:45:07";26,6;3340;3313
"2025-02-04 18:50:19";26,6;3340;3313
"2025-02-04 18:55:30";26,6;3340;3313
"2025-02-04 19:00:42";26,6;3340;3312
"2025-02-04 19:05:53";26,6;3340;3312
"2025-02-04 19:11:07";26,6;3340;3311
"2025-02-04 19:16:18";26,6;3340;3311
"2025-02-04 19:21:30";26,6;3340;3311
"2025-02-04 19:26:41";26,6;3340;3311
"2025-02-04 19:31:53";26,6;3340;3310
"2025-02-04 19:37:06";26,6;3339;3310
"2025-02-04 19:47:29";26,6;3338;3309
"2025-02-04 19:52:40";26,6;3338;3309
"2025-02-04 19:57:52";26,6;3338;3308
"2025-02-04 20:03:05";26,6;3338;3308
"2025-02-04 20:08:17";26,6;3338;3308
"2025-02-04 20:13:28";26,6;3338;3308
"2025-02-04 20:18:40";26,6;3337;3308
"2025-02-04 20:23:51";26,6;3337;3307
"2025-02-04 20:29:05";26,6;3337;3307
"2025-02-04 20:34:16";26,6;3337;3307
"2025-02-04 20:39:27";26,6;3337;3306
"2025-02-04 20:44:39";26,6;3337;3306
"2025-02-04 20:49:50";26,6;3337;3306
"2025-02-04 20:55:04";26,6;3336;3305
"2025-02-04 21:00:15";26,6;3336;3305
"2025-02-04 21:05:27";26,6;3336;3305
"2025-02-04 21:10:38";26,6;3336;3305
"2025-02-04 21:15:50";26,6;3335;3305
"2025-02-04 21:21:03";26,6;3335;3305
"2025-02-04 21:26:15";26,6;3335;3304
"2025-02-04 21:31:26";26,6;3335;3304
"2025-02-04 21:36:37";26,6;3335;3304
"2025-02-04 21:41:49";26,6;3335;3304
"2025-02-04 21:47:02";26,6;3335;3304
"2025-02-04 21:52:14";26,5;3334;3304
"2025-02-04 21:57:25";26,5;3335;3303
"2025-02-04 22:02:37";26,5;3334;3303
"2025-02-04 22:07:48";26,5;3334;3303
"2025-02-04 22:13:02";26,5;3334;3302
"2025-02-04 22:18:13";26,5;3333;3302
"2025-02-04 22:23:25";26,5;3333;3302
"2025-02-04 22:28:36";26,5;3333;3302
"2025-02-04 22:33:47";26,5;3333;3302
"2025-02-04 22:39:01";26,5;3333;3301
"2025-02-04 22:44:13";26,5;3332;3301
"2025-02-04 22:49:24";26,5;3332;3301
"2025-02-04 22:54:35";26,5;3332;3301
"2025-02-04 22:59:47";26,5;3332;3301
"2025-02-04 23:04:58";26,5;3332;3301
"2025-02-04 23:10:12";26,5;3332;3301
"2025-02-04 23:15:23";26,5;3331;3300
"2025-02-04 23:20:35";26,5;3332;3300
"2025-02-04 23:25:46";26,5;3331;3300
"2025-02-04 23:30:58";26,5;3331;3300
"2025-02-04 23:36:11";26,5;3331;3300
"2025-02-04 23:41:23";26,5;3331;3299
